seed,agent_name,user_id,round_idx,domain,is_ood,true_tool,selected_tool,reward
0,Random,0,0,navigation,0,Amap,Baidu Maps,0.0
0,Random,0,1,navigation,0,Amap,DiDi,0.0
0,Random,0,2,financial,1,Tonghua Shun,East Money,0.0
0,Random,0,3,entertainment,0,iQiyi,Youku,0.0
0,Random,0,4,food_delivery,0,WeChat MiniProgram,Taobao Delivery,0.0
0,Random,0,5,shopping,0,Pinduoduo,Amazon,0.0
0,Random,0,6,food_delivery,0,WeChat MiniProgram,Meituan,0.0
0,Random,0,7,financial,0,Yahoo Finance,Bloomberg,0.0
0,Random,0,8,shopping,0,Pinduoduo,Amazon,0.0
0,Random,0,9,navigation,0,Amap,Amap,1.0
0,Random,1,0,navigation,0,DiDi,CaoCao,0.0
0,Random,1,1,shopping,0,JD.com,Pinduoduo,0.0
0,Random,1,2,entertainment,0,iQiyi,iQiyi,1.0
0,Random,1,3,food_delivery,0,Meituan,Ele.me,0.0
0,Random,1,4,financial,0,Bloomberg,Bloomberg,1.0
0,Random,1,5,financial,0,Bloomberg,East Money,0.0
0,Random,1,6,financial,0,Bloomberg,East Money,0.0
0,Random,1,7,food_delivery,0,Meituan,Meituan,1.0
0,Random,1,8,financial,0,Bloomberg,Bloomberg,1.0
0,Random,1,9,shopping,0,JD.com,JD.com,1.0
0,Random,2,0,entertainment,0,Youku,Netflix,0.0
0,Random,2,1,food_delivery,0,WeChat MiniProgram,WeChat MiniProgram,1.0
0,Random,2,2,food_delivery,1,Ele.me,WeChat MiniProgram,0.0
0,Random,2,3,entertainment,0,Youku,iQiyi,0.0
0,Random,2,4,entertainment,0,Youku,Netflix,0.0
0,Random,2,5,shopping,0,Pinduoduo,Taobao,0.0
0,Random,2,6,entertainment,1,Bilibili,iQiyi,0.0
0,Random,2,7,navigation,0,Baidu Maps,Baidu Maps,1.0
0,Random,2,8,financial,0,Bloomberg,East Money,0.0
0,Random,2,9,food_delivery,0,WeChat MiniProgram,Ele.me,0.0
0,Pure-Bandit,0,0,navigation,0,Amap,Amap,1.0
0,Pure-Bandit,0,1,navigation,0,Amap,Amap,1.0
